episode,epoch,reward,confidence,value,policy_loss,value_loss,total_loss,grad_norm,time0,19,0,0.032,0.204,-0.866,0.045,-0.885,tensor(3.1385),0.20,19,0,0.032,0.204,-0.866,0.045,-0.885,tensor(3.1385),0.2
0,39,0,0.037,-0.274,-0.063,0.007,-0.098,tensor(1.0882),0.3
0,59,0,0.054,-0.438,0.221,0.005,0.192,tensor(0.9332),0.3
0,69,-1,0.121,-0.373,-0.656,0.369,-0.483,tensor(8.5189),0.3
1,20,0,0.033,-0.155,-0.448,0.018,-0.481,tensor(1.8701),0.4
1,40,0,0.043,-0.186,-0.47,0.018,-0.499,tensor(2.2723),0.4
1,60,0,0.055,-0.314,0.244,0.007,0.216,tensor(1.1054),0.5
1,70,-1,0.127,-0.204,-0.821,0.603,-0.528,tensor(13.5708),0.5
2,19,0,0.034,-0.448,0.962,0.053,0.947,tensor(2.2009),0.6
2,39,0,0.042,-0.433,0.937,0.059,0.928,tensor(2.7137),0.6
2,59,0,0.062,-0.262,-0.097,0.002,-0.125,tensor(0.4718),0.7
2,67,1,0.126,-0.315,0.888,1.691,1.725,tensor(13.3025),0.7
3,20,0,0.038,-0.396,0.086,0.001,0.044,tensor(0.4393),0.8
3,40,0,0.047,-0.413,0.171,0.003,0.134,tensor(0.5155),0.9
3,60,0,0.074,-0.336,0.006,0.0,-0.022,tensor(0.1166),0.9
3,64,0,0.13,-0.273,0.0,0.075,0.037,tensor(1.9622),1.0
4,19,0,0.033,-0.484,0.465,0.012,0.43,tensor(0.9503),1.0
4,39,0,0.042,-0.494,-0.017,0.0,-0.055,tensor(0.1023),1.1
4,59,0,0.059,-0.47,0.159,0.004,0.131,tensor(0.5381),1.1
4,69,0,0.131,-0.415,0.408,0.172,0.484,tensor(3.9674),1.1
5,20,0,0.038,-0.32,-0.199,0.007,-0.238,tensor(0.9463),1.2
5,40,0,0.043,-0.336,0.266,0.007,0.232,tensor(0.8560),1.3
5,60,0,0.059,-0.185,0.077,0.001,0.047,tensor(0.3039),1.3
5,68,-1,0.128,-0.176,-0.627,0.655,-0.307,tensor(9.9930),1.3
6,19,0,0.034,-0.356,0.957,0.054,0.942,tensor(1.9966),1.4
6,39,0,0.04,-0.308,0.384,0.009,0.349,tensor(0.8560),1.4
6,59,0,0.055,-0.284,0.107,0.002,0.076,tensor(0.3709),1.5
6,67,1,0.11,-0.243,1.366,1.509,2.108,tensor(13.7989),1.5
7,20,0,0.033,-0.189,-0.642,0.025,-0.671,tensor(1.6085),1.6
7,40,0,0.048,-0.355,-0.142,0.002,-0.179,tensor(0.4409),1.6
7,60,0,0.066,-0.366,0.207,0.005,0.18,tensor(0.6580),1.7
7,66,1,0.096,-0.344,2.447,1.78,3.323,tensor(20.9564),1.7
8,19,0,0.036,-0.158,-0.206,0.011,-0.243,tensor(0.8288),1.7
8,39,0,0.047,-0.176,-0.055,0.001,-0.093,tensor(0.2775),1.8
8,59,0,0.07,-0.148,-0.106,0.002,-0.136,tensor(0.4137),1.9
8,69,-1,0.144,-0.095,-0.947,0.783,-0.565,tensor(8.3245),1.9
