episode,reward,confidence,policy_loss,value_loss,total_loss,time
0,-1,0.11766183955801858,-0.6608683466911316,0.3524961769580841,-0.49656981229782104,0.3904609680175781
1,-1,0.10487639231400357,-0.5759871602058411,0.16689567267894745,-0.5062894225120544,0.6754770278930664
2,1,0.1333329363060849,0.9686390161514282,2.511174440383911,2.216120958328247,1.0057799816131592
3,-1,0.11644397777589885,-0.08716263622045517,0.12971332669258118,-0.02695666253566742,1.2332088947296143
4,1,0.09814634080976248,2.5464532375335693,2.6029653549194336,3.832549571990967,1.4763736724853516
5,-1,0.12217792261924063,-0.40776777267456055,0.19412653148174286,-0.32064273953437805,1.7170298099517822
6,-1,0.1335791680429663,-0.4637933671474457,0.3036232590675354,-0.32095202803611755,1.9617819786071777
7,1,0.11436186078935862,0.850037157535553,2.4855968952178955,2.084453582763672,2.1741018295288086
8,1,0.1253831924146248,1.7857520580291748,1.550286054611206,2.548666000366211,2.4256930351257324
9,-1,0.11394398298227426,-0.7107442617416382,0.8397221565246582,-0.29554611444473267,2.656022787094116
10,-1,0.14873444413145384,-0.8601093292236328,0.9420909881591797,-0.3990479111671448,2.911112070083618
11,1,0.11551830119320325,1.6398948431015015,1.7781648635864258,2.5158567428588867,3.1576390266418457
12,1,0.13770044922377123,0.7160977721214294,1.2214179039001465,1.3199869394302368,3.39164400100708
13,0,0.13699558470398188,0.08252996951341629,0.009463601745665073,0.07541094720363617,3.645371913909912
14,0,0.14630102312990598,-0.03447341173887253,0.0012234352761879563,-0.041727013885974884,3.8947079181671143
15,-1,0.12319697352016673,-0.8365443348884583,1.4710396528244019,-0.1099163293838501,4.138481855392456
16,1,0.07356687680338368,1.5020904541015625,0.4980231523513794,1.7305978536605835,4.382684946060181
17,1,0.12477399636473921,0.9406515955924988,1.1738122701644897,1.5162461996078491,4.632093906402588
18,0,0.14005806893110276,-0.2054934799671173,0.040581654757261276,-0.19385017454624176,4.885434865951538
19,-1,0.1347477352246642,-1.3477784395217896,1.8798450231552124,-0.4193915128707886,5.104036808013916
20,-1,0.14168993745827013,-1.216907262802124,1.0818290710449219,-0.6870037317276001,5.362993001937866
21,-1,0.12087515348361598,-1.1271291971206665,0.9100337028503418,-0.6866769194602966,5.617664098739624
22,1,0.12642756714062256,0.4004710614681244,1.0532208681106567,0.9218315482139587,5.862840890884399
23,-1,0.13723528081257091,-0.9115280508995056,0.570345938205719,-0.6407251358032227,6.137250900268555
24,0,0.1340686490552293,0.07483278214931488,0.0027546591591089964,0.06572925299406052,6.399972915649414
25,-1,0.13305605151173142,-0.5599872469902039,0.24339303374290466,-0.45076286792755127,6.661101818084717
26,0,0.13822011947631835,0.35233640670776367,0.2050042748451233,0.44655153155326843,7.029494762420654
27,-1,0.12340314845953669,-0.4979732930660248,0.2671167850494385,-0.3735448718070984,7.286574840545654
28,-1,0.11651909219868042,-0.6705014109611511,0.37649545073509216,-0.4923730790615082,7.539255857467651
